"","x"
"1518",1049.8
"1519",574.6
"1520",0.2
"1521",916.6
"1522",675.4
"1523",754.2
"1524",902.2
"1525",713.4
"1526",343.6
"1527",5
"1528",697.8
"1529",796
"1530",916.4
"1531",940.6
"1532",815
"1533",387.4
"1534",0.2
"1535",756.4
"1536",866.4
"1537",1028
"1538",1066.2
"1539",913.8
"1540",433
"1541",0.4
"1542",0.2
"1543",740.2
"1544",848.6
"1545",0
"1546",0.4
"1547",358.4
"1548",0.6
"1549",898.4
"1550",972.6
"1551",1300.4
"1552",1511.8
"1553",683.4
"1554",277
"1555",2
"1556",541
"1557",709.4
"1558",839.2
"1559",941.4
"1560",785.2
"1561",355
"1562",0.2
"1563",718.2
"1564",788.8
"1565",920
"1566",958
"1567",826.4
"1568",331.6
"1569",0.2
"1570",713.4
"1571",768.8
"1572",868
"1573",913
"1574",795.8
"1575",321.2
"1576",0.2
"1577",727.2
"1578",962.6
"1579",1173.6
"1580",1455.2
"1581",1402
"1582",768.2
"1583",4.4
"1584",455.4
"1585",565.8
"1586",790.6
"1587",907.6
"1588",804.6
"1589",369.2
"1590",2.6
"1591",0
"1592",759.6
"1593",868.8
"1594",916.8
"1595",816
"1596",355.2
"1597",0
"1598",702.4
"1599",800.8
"1600",898.2
"1601",931.4
"1602",777.6
"1603",377.2
"1604",0
"1605",772.4
"1606",908.8
"1607",1094.8
"1608",1180.2
"1609",1126.2
"1610",666.4
"1611",2.4
"1612",0
"1613",1234.4
"1614",678.8
"1615",733.4
"1616",675.2
"1617",325.8
"1618",2.6
"1619",2.6
"1620",687.8
"1621",803.8
"1622",887.4
"1623",801.4
"1624",387.6
"1625",0
"1626",702.8
"1627",818.4
"1628",864.6
"1629",869.8
"1630",750.8
"1631",363
"1632",0.8
"1633",682.8
"1634",833.6
"1635",949.8
"1636",983.8
"1637",889.8
"1638",416.4
"1639",0
"1640",855.8
"1641",1200
"1642",1417.8
"1643",1549
"1644",602.4
"1645",221
"1646",2.6
"1647",2.6
"1648",596.4
"1649",726.2
"1650",845.6
"1651",761.4
"1652",353.6
"1653",0.2
"1654",729.8
"1655",800.2
"1656",810
"1657",873.6
"1658",734.2
"1659",346
"1660",0.2
"1661",689.2
"1662",749.2
"1663",0.4
"1664",945.8
"1665",784.4
"1666",375.4
"1667",0
"1668",799.4
"1669",962.4
"1670",1179.4
"1671",1474.4
"1672",1262.6
"1673",789
"1674",4.2
"1675",606.4
"1676",625
"1677",800.6
"1678",815.4
"1679",753.6
"1680",332.2
"1681",0
"1682",774.2
"1683",850.8
"1684",938
"1685",924
"1686",834
"1687",380.8
"1688",0
"1689",0
"1690",843
"1691",875.8
"1692",915.4
"1693",791.6
"1694",367.2
"1695",0.2
"1696",759.4
"1697",919.8
"1698",1036.4
"1699",1091.6
"1700",934.4
"1701",565.8
"1702",0.2
"1703",940.2
"1704",1321
"1705",1462
"1706",844.8
"1707",621.2
"1708",281.4
"1709",0.2
"1710",643.4
"1711",818.6
"1712",900.4
"1713",976
"1714",799.4
"1715",365.8
"1716",0.2
"1717",725.4
"1718",785.4
"1719",891.4
"1720",889
"1721",768.4
"1722",328.8
"1723",0.4
"1724",687.4
"1725",825.2
"1726",901.6
"1727",973
"1728",828
"1729",380.8
"1730",0.4
"1731",845.8
"1732",1068.8
"1733",1335.6
"1734",1423.6
"1735",1497
"1736",313
"1737",3.6
"1738",544.6
"1739",663.8
"1740",807.2
"1741",860
"1742",751.6
"1743",346.6
"1744",2.4
"1745",657.4
"1746",795.2
"1747",856
"1748",894.8
"1749",750.2
"1750",344.8
"1751",3.8
"1752",0
"1753",706
"1754",811.4
"1755",864
"1756",798.4
"1757",394.8
"1758",5
"1759",735.2
"1760",909.4
"1761",1038.2
"1762",1187
"1763",1212.2
"1764",681.4
"1765",1
"1766",1324.8
"1767",565.8
"1768",684.8
"1769",810.4
"1770",762
"1771",370.2
"1772",0.4
"1773",0.4
"1774",853.6
"1775",941.6
"1776",901.8
"1777",882.2
"1778",413.4
"1779",3.8
"1780",3.8
"1781",872
"1782",1006.6
"1783",1083.4
"1784",998.6
"1785",431.2
"1786",0.8
"1787",903.8
"1788",1121.8
"1789",1199.8
"1790",1298.6
"1791",1170.2
"1792",638
"1793",1.2
"1794",1554.6
"1795",1828.4
"1796",2517.4
"1797",873.4
"1798",728.6
"1799",520.6
"1800",0.6
"1801",851
"1802",1007.6
"1803",1035.6
"1804",2.2
"1805",920.4
"1806",623.2
"1807",3.8
"1808",1050.8
"1809",1224.6
"1810",1392.6
"1811",1412.6
"1812",1158.2
"1813",703.8
"1814",4.6
"1815",1015.4
"1816",1361.4
"1817",1512.2
"1818",1528.4
"1819",1306.4
"1820",650.2
"1821",1.2
"1822",1287.8
"1823",1711.2
"1824",2629
"1825",2180
"1826",1143.2
"1827",364
"1828",0
"1829",260.4
"1830",351.4
"1831",443.8
"1832",616.4
"1833",602.8
"1834",446.8
"1835",0.6
"1836",0.6
"1837",752
"1838",788.8
"1839",899.2
"1840",783.6
"1841",504
"1842",0.6
"1843",791.6
"1844",860.6
"1845",892.6
"1846",856.2
"1847",762.8
"1848",517
"1849",0
"1850",800
"1851",1016.4
"1852",863.8
"1853",908.2
"1854",688.8
"1855",540.4
"1856",0.6
"1857",1279.6
"1858",1314.8
"1859",546.2
"1860",642.2
"1861",629.8
"1862",401.2
"1863",0
"1864",584.4
"1865",727.8
"1866",820.6
